timestamp,container,cpu_usec,mem_bytes,mem_limit_bytes,container_id
1780711754.359,mn.client_2,56770,1761280,-1,7ee59e61e69f
1780711754.359,mn.client_1,58506,1335296,-1,7fd214aeb54b
1780711754.359,mn.server,53169,1355776,4294967296,bef762084994
1780711755.359,mn.client_5,68179,1363968,-1,9b953a984a10
1780711755.359,mn.client_4,61594,1318912,-1,6c4b90a770d1
1780711755.359,mn.client_3,55118,1331200,-1,8a929a564333
1780711755.359,mn.client_2,138624,9818112,-1,7ee59e61e69f
1780711755.359,mn.client_1,375256,33329152,-1,7fd214aeb54b
1780711755.359,mn.server,816586,87916544,4294967296,bef762084994
1780711756.360,mn.client_8,67889,1773568,-1,4a1d1ae1f5f6
1780711756.360,mn.client_7,66378,1466368,-1,b6e5d15052b9
1780711756.360,mn.client_6,69482,1335296,-1,fb86ada2a361
1780711756.360,mn.client_5,257075,20549632,-1,9b953a984a10
1780711756.360,mn.client_4,542758,40812544,-1,6c4b90a770d1
1780711756.360,mn.client_3,835548,60329984,-1,8a929a564333
1780711756.360,mn.client_2,1106011,90288128,-1,7ee59e61e69f
1780711756.360,mn.client_1,1352837,118816768,-1,7fd214aeb54b
1780711756.360,mn.server,1834507,213155840,4294967296,bef762084994
1780711757.360,mn.client_8,225790,13643776,-1,4a1d1ae1f5f6
1780711757.360,mn.client_7,568352,35860480,-1,b6e5d15052b9
1780711757.360,mn.client_6,872689,50765824,-1,fb86ada2a361
1780711757.360,mn.client_5,1225994,80359424,-1,9b953a984a10
1780711757.360,mn.client_4,1534557,118071296,-1,6c4b90a770d1
1780711757.360,mn.client_3,1832133,133857280,-1,8a929a564333
1780711757.360,mn.client_2,2088981,150507520,-1,7ee59e61e69f
1780711757.360,mn.client_1,2334582,150601728,-1,7fd214aeb54b
1780711757.360,mn.server,3706556,316624896,4294967296,bef762084994
1780711758.359,mn.client_8,1207657,72032256,-1,4a1d1ae1f5f6
1780711758.359,mn.client_7,1559082,109981696,-1,b6e5d15052b9
1780711758.359,mn.client_6,1871402,125177856,-1,fb86ada2a361
1780711758.359,mn.client_5,2218738,148250624,-1,9b953a984a10
1780711758.359,mn.client_4,2525460,150503424,-1,6c4b90a770d1
1780711758.359,mn.client_3,2822561,408993792,-1,8a929a564333
1780711758.359,mn.client_2,2887977,494264320,-1,7ee59e61e69f
1780711758.359,mn.client_1,2845111,490733568,-1,7fd214aeb54b
1780711758.359,mn.server,5615523,317378560,4294967296,bef762084994
1780711759.360,mn.client_8,2201224,150147072,-1,4a1d1ae1f5f6
1780711759.360,mn.client_7,2550553,150605824,-1,b6e5d15052b9
