timestamp,container,cpu_usec,mem_bytes,mem_limit_bytes,container_id
1780094312.501,mn.client_2,51519,2457600,-1,db9c1e8dede1
1780094312.501,mn.client_1,42950,1335296,-1,03ac6c586d19
1780094312.501,mn.server,50584,6082560,4294967296,b21913f81615
1780094313.501,mn.client_5,61567,1392640,-1,fd128fbc0700
1780094313.501,mn.client_4,56014,1331200,-1,a7e0a0a86e28
1780094313.501,mn.client_3,51126,1343488,-1,2282e65f2620
1780094313.501,mn.client_2,137902,13574144,-1,db9c1e8dede1
1780094313.501,mn.client_1,373405,36384768,-1,03ac6c586d19
1780094313.501,mn.server,586845,109600768,4294967296,b21913f81615
1780094314.501,mn.client_8,74885,2789376,-1,8836e8a91a14
1780094314.501,mn.client_7,73432,1351680,-1,bc814799b003
1780094314.501,mn.client_6,70654,1335296,-1,bc00a57d558e
1780094314.501,mn.client_5,261723,19800064,-1,fd128fbc0700
1780094314.501,mn.client_4,546580,39018496,-1,a7e0a0a86e28
1780094314.501,mn.client_3,816387,56713216,-1,2282e65f2620
1780094314.501,mn.client_2,1076889,117071872,-1,db9c1e8dede1
1780094314.501,mn.client_1,1221823,145440768,-1,03ac6c586d19
1780094314.501,mn.server,1349409,230297600,4294967296,b21913f81615
1780094315.502,mn.client_8,149235,9781248,-1,8836e8a91a14
1780094315.502,mn.client_7,535527,36732928,-1,bc814799b003
1780094315.502,mn.client_6,893910,60780544,-1,bc00a57d558e
1780094315.502,mn.client_5,1240048,95928320,-1,fd128fbc0700
1780094315.502,mn.client_4,1535916,121679872,-1,a7e0a0a86e28
1780094315.502,mn.client_3,1813963,138145792,-1,2282e65f2620
1780094315.502,mn.client_2,1874503,161595392,-1,db9c1e8dede1
1780094315.502,mn.client_1,1988474,200179712,-1,03ac6c586d19
1780094315.502,mn.server,2210533,299565056,4294967296,b21913f81615
1780094316.502,mn.client_8,1118192,121192448,-1,8836e8a91a14
1780094316.502,mn.client_7,1518592,130293760,-1,bc814799b003
1780094316.502,mn.client_6,1880772,150589440,-1,bc00a57d558e
1780094316.502,mn.client_5,2228305,150700032,-1,fd128fbc0700
