timestamp,container,cpu_usec,mem_bytes,mem_limit_bytes,container_id
1780718951.975,mn.client_2,57426,1568768,-1,505b9281c6e2
1780718951.975,mn.client_1,56990,1343488,-1,b810e81e5c8d
1780718951.975,mn.server,43732,1470464,4294967296,38077d4b6363
1780718952.976,mn.client_5,63510,1478656,-1,d26bf5266bfd
1780718952.976,mn.client_4,59714,1323008,-1,61f535b6c862
1780718952.976,mn.client_3,56850,1323008,-1,43547c77e439
1780718952.976,mn.client_2,147777,11067392,-1,505b9281c6e2
1780718952.976,mn.client_1,418645,35442688,-1,b810e81e5c8d
1780718952.976,mn.server,821541,96890880,4294967296,38077d4b6363
1780718953.976,mn.client_8,70844,1384448,-1,7b76707ce06e
1780718953.976,mn.client_7,68643,1331200,-1,59abbbfb893d
1780718953.976,mn.client_6,72325,1343488,-1,ac3404ff860e
1780718953.976,mn.client_5,311834,23912448,-1,d26bf5266bfd
1780718953.976,mn.client_4,597084,43311104,-1,61f535b6c862
1780718953.976,mn.client_3,853236,60350464,-1,43547c77e439
1780718953.976,mn.client_2,1113565,87318528,-1,505b9281c6e2
1780718953.976,mn.client_1,1410217,121135104,-1,b810e81e5c8d
1780718953.976,mn.server,1829306,212660224,4294967296,38077d4b6363
1780718954.978,mn.client_8,263957,17657856,-1,7b76707ce06e
1780718954.978,mn.client_7,594640,36360192,-1,59abbbfb893d
1780718954.978,mn.client_6,937962,53006336,-1,ac3404ff860e
1780718954.978,mn.client_5,1284092,85233664,-1,d26bf5266bfd
1780718954.978,mn.client_4,1590680,118648832,-1,61f535b6c862
1780718954.978,mn.client_3,1851693,133865472,-1,43547c77e439
1780718954.978,mn.client_2,2108692,149303296,-1,505b9281c6e2
1780718954.978,mn.client_1,2398614,150609920,-1,b810e81e5c8d
1780718954.978,mn.server,3671913,270839808,4294967296,38077d4b6363
1780718955.976,mn.client_8,1248314,73007104,-1,7b76707ce06e
1780718955.976,mn.client_7,1578115,108417024,-1,59abbbfb893d
1780718955.976,mn.client_6,1936433,125591552,-1,ac3404ff860e
1780718955.976,mn.client_5,2276779,148144128,-1,d26bf5266bfd
1780718955.976,mn.client_4,2580198,150630400,-1,61f535b6c862
1780718955.976,mn.client_3,2839855,312143872,-1,43547c77e439
1780718955.976,mn.client_2,2972876,491008000,-1,505b9281c6e2
1780718955.976,mn.client_1,2855219,491302912,-1,b810e81e5c8d
1780718955.976,mn.server,5607643,271712256,4294967296,38077d4b6363
1780718956.976,mn.client_8,2239202,150593536,-1,7b76707ce06e
1780718956.976,mn.client_7,2567901,171253760,-1,59abbbfb893d
1780718956.976,mn.client_6,2921759,501645312,-1,ac3404ff860e
1780718956.976,mn.client_5,3009973,491466752,-1,d26bf5266bfd
1780718956.976,mn.client_4,3032236,491388928,-1,61f535b6c862
1780718956.976,mn.client_3,3010716,491851776,-1,43547c77e439
1780718956.976,mn.client_2,2979560,491372544,-1,505b9281c6e2
1780718956.976,mn.client_1,2862423,491880448,-1,b810e81e5c8d
1780718956.976,mn.server,7523653,273158144,4294967296,38077d4b6363
1780718957.977,mn.client_8,2894640,505753600,-1,7b76707ce06e
1780718957.977,mn.client_7,3057602,505876480,-1,59abbbfb893d
1780718957.977,mn.client_6,3141830,506368000,-1,ac3404ff860e
1780718957.977,mn.client_5,3411677,505524224,-1,d26bf5266bfd
1780718957.977,mn.client_4,3267244,502976512,-1,61f535b6c862
1780718957.977,mn.client_3,3220246,502865920,-1,43547c77e439
1780718957.977,mn.client_2,3241790,505896960,-1,505b9281c6e2
1780718957.977,mn.client_1,3073017,506310656,-1,b810e81e5c8d
1780718957.977,mn.server,8685194,427495424,4294967296,38077d4b6363
1780718958.977,mn.client_8,3894596,505802752,-1,7b76707ce06e
1780718958.977,mn.client_7,4057714,505872384,-1,59abbbfb893d
1780718958.977,mn.client_6,4142265,506368000,-1,ac3404ff860e
