round,test_loss,test_accuracy,eval_time_s
187,1.068442,0.674900,2.401999
188,1.082632,0.672100,2.408993
189,1.072787,0.672900,2.406572
190,1.064142,0.676700,2.391401
191,1.061169,0.677200,2.416621
192,1.069017,0.676200,2.411032
193,1.078636,0.676900,2.458105
194,1.076468,0.680000,2.451562
195,1.073545,0.681800,2.391657
196,1.079530,0.679000,2.398821
197,1.111820,0.676200,2.468423
198,1.091435,0.678100,2.407511
199,1.089832,0.676400,2.455628
200,1.100269,0.678400,2.417975
201,1.119147,0.671300,2.411020
202,1.081686,0.677600,2.416841
203,1.098034,0.677300,2.424399
204,1.099154,0.679100,2.446082
205,1.103960,0.675600,2.413447
206,1.104917,0.678100,2.409976
207,1.120349,0.676700,2.406292
208,1.113399,0.678600,2.403335
209,1.106067,0.678600,2.428950
210,1.116211,0.678000,2.398448
211,1.123304,0.678300,2.498936
212,1.117662,0.678500,2.398620
213,1.133801,0.677700,2.389649
214,1.140327,0.678600,2.411406
215,1.130295,0.675900,2.450803
216,1.131925,0.680500,2.398122
217,1.145203,0.674500,2.542481
218,1.149368,0.676600,2.394563
219,1.142609,0.680100,2.519140
220,1.165422,0.672400,2.401484
221,1.154612,0.678000,2.423068
222,1.159868,0.675000,2.417763
223,1.153969,0.675800,2.413138
224,1.154546,0.674900,2.393980
225,1.163578,0.677900,2.411679
226,1.182975,0.677400,2.569719
227,1.170533,0.682400,2.412886
228,1.167439,0.677600,2.406767
229,1.159527,0.678900,2.593805
230,1.205203,0.674500,2.435547
231,1.179902,0.674500,2.389187
232,1.179657,0.678900,2.402377
233,1.179874,0.679900,2.545167
234,1.180458,0.679700,2.528745
235,1.184434,0.678500,2.611733
236,1.196117,0.675400,2.519971
237,1.211429,0.677600,2.600302
238,1.230471,0.673200,2.541194
239,1.215996,0.677100,2.547398
240,1.222388,0.677100,2.546477
241,1.216275,0.674700,2.544858
242,1.220250,0.675000,2.602365
243,1.223130,0.676300,2.620054
244,1.212636,0.676500,2.535973
245,1.220669,0.678100,2.530533
246,1.241470,0.675300,2.528606
247,1.235708,0.676500,2.547045
248,1.231245,0.674600,2.538598
249,1.240573,0.674500,2.548385
250,1.254489,0.676300,2.498472
251,1.243432,0.679000,2.443512
252,1.254224,0.681000,2.581372
253,1.253376,0.679700,2.426192
254,1.232315,0.679800,2.451466
255,1.259520,0.676100,2.431746
256,1.251790,0.679900,2.430447
257,1.257712,0.681500,2.426572
258,1.264722,0.676700,2.430793
259,1.263965,0.677800,2.570738
260,1.255461,0.677700,2.442322
261,1.268546,0.680900,2.400960
262,1.268794,0.678600,2.415879
263,1.277012,0.678700,2.433866
264,1.263889,0.680700,2.501611
265,1.287427,0.677800,2.426096
266,1.280479,0.678700,2.451801
267,1.276756,0.681400,2.427813
268,1.284436,0.680700,2.563218
269,1.285948,0.681200,2.435458
270,1.306955,0.678400,2.442475
271,1.319103,0.680100,2.445824
272,1.298571,0.680500,2.460643
273,1.310603,0.678200,2.428933
274,1.313415,0.681900,2.500633
275,1.328536,0.675900,2.424212
276,1.334792,0.679600,2.495664
277,1.321447,0.681200,2.469095
278,1.342329,0.682400,2.458176
279,1.339971,0.680400,2.444025
280,1.332821,0.682300,2.436616
281,1.341099,0.681700,2.431014
282,1.332588,0.682700,2.427012
283,1.342934,0.682400,2.433987
284,1.353698,0.681000,2.433508
285,1.354259,0.681200,2.441320
286,1.352754,0.681400,2.431838
287,1.387498,0.678200,2.436215
288,1.374628,0.679300,2.596987
289,1.356055,0.680300,2.410106
290,1.376106,0.678900,2.434676
291,1.364100,0.682000,2.429927
292,1.381876,0.675600,2.414961
293,1.388192,0.677700,2.417655
294,1.379503,0.679300,2.400879
295,1.390808,0.678900,2.422729
296,1.393377,0.679700,2.425531
297,1.405122,0.679300,2.401194
298,1.382703,0.678000,2.411743
299,1.402886,0.676800,2.407297
300,1.413333,0.680400,2.680457
301,1.397720,0.679600,2.529002
302,1.403427,0.681300,2.435251
303,1.415027,0.682500,2.529776
304,1.433436,0.678000,2.439066
305,1.421050,0.680300,2.428340
306,1.404698,0.679600,2.419239
307,1.411742,0.678800,2.430585
308,1.408835,0.680300,2.447922
309,1.422777,0.681300,2.414213
310,1.423250,0.678300,2.488528
311,1.422792,0.680400,2.420290
312,1.438743,0.680700,2.418506
313,1.476127,0.680800,2.452238
314,1.490012,0.679700,2.456260
315,1.459632,0.679800,2.493526
316,1.464743,0.678300,2.422088
317,1.477911,0.680500,2.413263
318,1.474616,0.678500,2.390143
319,1.481909,0.682700,2.503880
320,1.483412,0.680400,2.431309
321,1.489985,0.680600,2.427193
322,1.458975,0.679700,2.383535
323,1.476888,0.682700,2.407448
324,1.469920,0.680500,2.404311
325,1.464920,0.681700,2.413785
326,1.484281,0.678000,2.429904
327,1.488476,0.679100,2.564515
328,1.507419,0.677000,2.475132
329,1.501362,0.678200,2.407140
330,1.499533,0.681300,2.412335
331,1.500475,0.681400,2.398571
332,1.514935,0.681700,2.426951
333,1.525442,0.682200,2.503425
334,1.519468,0.681700,2.392232
335,1.515164,0.681300,2.481429
336,1.525355,0.679400,2.444291
337,1.519396,0.687100,2.477134
338,1.516691,0.683900,2.433799
339,1.530897,0.680800,2.434685
340,1.537278,0.677500,2.408164
341,1.503063,0.680400,2.406364
342,1.544509,0.681000,2.387823
343,1.548337,0.681900,2.416912
344,1.557796,0.680500,2.434532
345,1.548033,0.679600,2.487575
346,1.551683,0.682100,2.395595
347,1.544289,0.681200,2.573894
348,1.548882,0.681300,2.408187
349,1.546416,0.682700,2.409330
350,1.569422,0.681600,2.418382
351,1.572301,0.682700,2.556737
352,1.572874,0.679700,2.453652
353,1.546741,0.683700,2.423351
354,1.572097,0.682300,2.678394
355,1.565075,0.680700,2.406490
356,1.597087,0.677500,2.411142
357,1.580522,0.681600,2.402416
358,1.592676,0.682300,2.434340
359,1.592459,0.680700,2.398324
360,1.592070,0.683200,2.445411
361,1.586595,0.680000,2.563482
362,1.581018,0.680500,2.488055
363,1.587592,0.678900,2.412403
364,1.585209,0.682500,2.387035
365,1.576926,0.679700,2.413746
366,1.602212,0.683800,2.430231
367,1.615025,0.676100,2.449710
368,1.618394,0.676700,2.546590
369,1.605351,0.676500,2.421943
370,1.606928,0.681900,2.392028
371,1.629871,0.677000,2.404693
372,1.620375,0.678700,2.573855
373,1.618420,0.679600,2.509977
374,1.625733,0.679900,2.410939
375,1.635545,0.680300,2.553350
376,1.626529,0.679300,2.391147
377,1.650145,0.678000,2.470917
378,1.617050,0.683200,2.396543
379,1.651473,0.679500,2.536734
380,1.636890,0.681800,2.411551
381,1.652057,0.683100,2.438897
382,1.665472,0.680300,2.405000
383,1.657743,0.683400,2.538762
384,1.651835,0.678900,2.402013
385,1.658410,0.679500,2.394689
386,1.664782,0.682700,2.418350
387,1.663358,0.680700,2.531927
388,1.678274,0.682500,2.411900
389,1.661220,0.681000,2.393110
390,1.714024,0.681000,2.537789
391,1.700619,0.684800,2.402667
392,1.682857,0.685100,2.418289
393,1.694511,0.677200,2.409019
394,1.666844,0.682400,2.423873
395,1.676825,0.681800,2.413582
396,1.693088,0.679500,2.396011
397,1.695329,0.682500,2.381081
398,1.731887,0.678400,2.430499
399,1.729139,0.685100,2.410078
400,1.714436,0.682000,2.398174
401,1.694660,0.680900,2.405052
402,1.707561,0.684800,2.408392
403,1.731351,0.678800,2.408114
404,1.714749,0.681600,2.559445
405,1.736097,0.682200,2.424211
406,1.742318,0.679800,2.403842
407,1.716914,0.678500,2.401071
408,1.738169,0.677300,2.404664
409,1.722771,0.682300,2.408002
410,1.728509,0.681300,2.395203
411,1.715340,0.678900,2.517995
412,1.735966,0.681600,2.643526
413,1.737009,0.677100,2.403781
414,1.739693,0.683400,2.503152
415,1.725371,0.680200,2.394312
416,1.741128,0.680500,2.418456
417,1.752558,0.680300,2.411174
418,1.742838,0.682300,2.391461
419,1.739258,0.682100,2.409443
420,1.753141,0.681900,2.397531
421,1.750947,0.683000,2.532714
422,1.761765,0.680100,2.428121
423,1.795983,0.678500,2.444639
424,1.751394,0.680900,2.440169
425,1.781520,0.678800,2.396753
426,1.772861,0.677400,2.408680
427,1.752316,0.680000,2.454538
428,1.759193,0.681300,2.537371
429,1.760188,0.682700,2.405948
430,1.756547,0.679700,2.533860
431,1.793386,0.678900,2.532696
432,1.779359,0.682700,2.385875
433,1.772726,0.683600,2.558436
434,1.769511,0.682900,2.402605
435,1.787758,0.681300,2.512096
436,1.787104,0.681100,2.407338
437,1.807263,0.681600,2.397430
438,1.790109,0.682300,2.394760
439,1.801691,0.681700,2.413070
440,1.794060,0.679700,2.448870
441,1.808381,0.682500,2.409210
442,1.797410,0.680000,2.428230
443,1.799814,0.681600,2.378948
444,1.802877,0.681600,2.394083
445,1.805355,0.682300,2.394965
446,1.814780,0.680900,2.468953
447,1.832019,0.680900,2.389262
448,1.823773,0.680900,2.452766
449,1.822911,0.677900,2.470034
450,1.843106,0.681200,2.403940
451,1.817916,0.682100,2.425529
452,1.832840,0.679000,2.466859
453,1.836764,0.680600,2.402061
454,1.841954,0.680600,2.417331
455,1.841149,0.681000,2.419506
456,1.838230,0.679200,2.393092
457,1.838583,0.683200,2.399074
458,1.843143,0.678700,2.384403
459,1.827048,0.681600,2.432330
460,1.848958,0.679500,2.494696
461,1.834482,0.681400,2.392629
462,1.852771,0.681800,2.389476
463,1.850739,0.681000,2.418983
464,1.843214,0.684100,2.416345
465,1.854591,0.681300,2.423451
466,1.869748,0.680200,2.384484
467,1.883826,0.682000,2.400059
468,1.895237,0.678200,2.400853
469,1.862038,0.681800,2.408377
470,1.879937,0.680400,2.402950
471,1.883422,0.680900,2.403286
472,1.875616,0.679200,2.398748
473,1.880513,0.682900,2.399760
474,1.870295,0.683600,2.402272
475,1.883824,0.679300,2.393911
476,1.863393,0.683700,2.388389
477,1.889514,0.678800,2.397500
478,1.882587,0.680500,2.389523
479,1.884439,0.682500,2.423423
480,1.886065,0.681200,2.390225
