timestamp,container,cpu_usec,mem_bytes,mem_limit_bytes,container_id
1780693503.832,mn.client_2,48558,2510848,-1,98baae6402ea
1780693503.832,mn.client_1,46364,1691648,-1,136fdf61479f
1780693503.832,mn.server,50350,1343488,4294967296,c1f84bdd4d46
1780693504.832,mn.client_5,63227,1503232,-1,b057e2f1166b
1780693504.832,mn.client_4,62101,1327104,-1,bef8c3df36ae
1780693504.832,mn.client_3,49100,1323008,-1,f1220ae8540c
1780693504.832,mn.client_2,95589,7417856,-1,98baae6402ea
1780693504.832,mn.client_1,337439,39452672,-1,136fdf61479f
1780693504.832,mn.server,812609,81633280,4294967296,c1f84bdd4d46
1780693505.833,mn.client_8,70757,1982464,-1,e30422ba9103
1780693505.833,mn.client_7,75122,1331200,-1,a0658f08c1d2
1780693505.833,mn.client_6,62530,1339392,-1,bcb23dd45bc7
1780693505.833,mn.client_5,311488,25780224,-1,b057e2f1166b
1780693505.833,mn.client_4,601896,43651072,-1,bef8c3df36ae
1780693505.833,mn.client_3,857090,67497984,-1,f1220ae8540c
1780693505.833,mn.client_2,1074704,91910144,-1,98baae6402ea
1780693505.833,mn.client_1,1325613,128925696,-1,136fdf61479f
1780693505.833,mn.server,1813333,210526208,4294967296,c1f84bdd4d46
1780693506.833,mn.client_8,222205,15417344,-1,e30422ba9103
1780693506.833,mn.client_7,582178,36761600,-1,a0658f08c1d2
1780693506.833,mn.client_6,922409,54304768,-1,bcb23dd45bc7
1780693506.833,mn.client_5,1295080,88416256,-1,b057e2f1166b
1780693506.833,mn.client_4,1580514,118710272,-1,bef8c3df36ae
1780693506.833,mn.client_3,1826512,138039296,-1,f1220ae8540c
1780693506.833,mn.client_2,2039656,150679552,-1,98baae6402ea
1780693506.833,mn.client_1,1747794,149975040,-1,136fdf61479f
1780693506.833,mn.server,3582897,277753856,4294967296,c1f84bdd4d46
1780693507.834,mn.client_8,1207216,76550144,-1,e30422ba9103
1780693507.834,mn.client_7,1570340,113750016,-1,a0658f08c1d2
1780693507.834,mn.client_6,1913954,128491520,-1,bcb23dd45bc7
1780693507.834,mn.client_5,2282485,150687744,-1,b057e2f1166b
1780693507.834,mn.client_4,2574307,150740992,-1,bef8c3df36ae
1780693507.834,mn.client_3,2820197,489877504,-1,f1220ae8540c
1780693507.834,mn.client_2,2843634,491847680,-1,98baae6402ea
1780693507.834,mn.client_1,2275242,229548032,-1,136fdf61479f
1780693507.834,mn.server,5505339,277643264,4294967296,c1f84bdd4d46
1780693508.832,mn.client_8,2191261,150966272,-1,e30422ba9103
1780693508.832,mn.client_7,2560123,150712320,-1,a0658f08c1d2
1780693508.832,mn.client_6,2906028,491970560,-1,bcb23dd45bc7
1780693508.832,mn.client_5,2991996,491642880,-1,b057e2f1166b
1780693508.832,mn.client_4,2987278,491859968,-1,bef8c3df36ae
1780693508.832,mn.client_3,2879164,491413504,-1,f1220ae8540c
1780693508.832,mn.client_2,2851695,491814912,-1,98baae6402ea
1780693508.832,mn.client_1,2547988,491798528,-1,136fdf61479f
1780693508.832,mn.server,7417214,228806656,4294967296,c1f84bdd4d46
1780693509.834,mn.client_8,2948808,506515456,-1,e30422ba9103
1780693509.834,mn.client_7,3174114,505925632,-1,a0658f08c1d2
1780693509.834,mn.client_6,3169008,506912768,-1,bcb23dd45bc7
1780693509.834,mn.client_5,3385962,505925632,-1,b057e2f1166b
1780693509.834,mn.client_4,3223631,506146816,-1,bef8c3df36ae
1780693509.834,mn.client_3,3144495,503427072,-1,f1220ae8540c
1780693509.834,mn.client_2,3098196,506101760,-1,98baae6402ea
1780693509.834,mn.client_1,2781804,506089472,-1,136fdf61479f
1780693509.834,mn.server,8518456,434053120,4294967296,c1f84bdd4d46
1780693510.833,mn.client_8,3956050,506793984,-1,e30422ba9103
1780693510.833,mn.client_7,4180168,505942016,-1,a0658f08c1d2
1780693510.833,mn.client_6,4172696,506159104,-1,bcb23dd45bc7
1780693510.833,mn.client_5,4390762,506494976,-1,b057e2f1166b
1780693510.833,mn.client_4,4227577,505626624,-1,bef8c3df36ae
1780693510.833,mn.client_3,4149371,503164928,-1,f1220ae8540c
1780693510.833,mn.client_2,4103533,505884672,-1,98baae6402ea
1780693510.833,mn.client_1,3785897,505769984,-1,136fdf61479f
1780693510.833,mn.server,8520912,433524736,4294967296,c1f84bdd4d46
1780693511.836,mn.client_8,4965268,506585088,-1,e30422ba9103
1780693511.836,mn.client_7,5189262,505970688,-1,a0658f08c1d2
1780693511.836,mn.client_6,5182807,506384384,-1,bcb23dd45bc7
1780693511.836,mn.client_5,5401225,506773504,-1,b057e2f1166b
1780693511.836,mn.client_4,5237261,505630720,-1,bef8c3df36ae
1780693511.836,mn.client_3,5158539,502898688,-1,f1220ae8540c
1780693511.836,mn.client_2,5114347,505884672,-1,98baae6402ea
1780693511.836,mn.client_1,4797904,505921536,-1,136fdf61479f
1780693511.836,mn.server,8522130,433139712,4294967296,c1f84bdd4d46
1780693512.833,mn.client_8,4996552,514433024,-1,e30422ba9103
1780693512.833,mn.client_7,6191763,505974784,-1,a0658f08c1d2
1780693512.833,mn.client_6,6184275,506126336,-1,bcb23dd45bc7
1780693512.833,mn.client_5,6402798,505917440,-1,b057e2f1166b
1780693512.833,mn.client_4,6238397,505540608,-1,bef8c3df36ae
1780693512.833,mn.client_3,6159466,502747136,-1,f1220ae8540c
1780693512.833,mn.client_2,6116790,505712640,-1,98baae6402ea
1780693512.833,mn.client_1,5800040,505659392,-1,136fdf61479f
1780693512.833,mn.server,8545280,444563456,4294967296,c1f84bdd4d46
1780693513.832,mn.client_8,5002423,514072576,-1,e30422ba9103
1780693513.832,mn.client_7,6389000,514170880,-1,a0658f08c1d2
1780693513.832,mn.client_6,6620446,515092480,-1,bcb23dd45bc7
1780693513.832,mn.client_5,6659717,514514944,-1,b057e2f1166b
1780693513.832,mn.client_4,6275617,513581056,-1,bef8c3df36ae
