timestamp,container,cpu_usec,mem_bytes,mem_limit_bytes,container_id
1780164474.624,mn.client_2,30248,1241088,1073741824,799a78293650
1780164474.624,mn.client_1,63860,1363968,1073741824,701484d3965b
1780164474.624,mn.server,47322,1351680,4294967296,421afad09d6f
1780164475.625,mn.client_5,40597,1101824,1073741824,a1ca42117c46
1780164475.625,mn.client_4,73083,1351680,1073741824,038841bb0fe9
1780164475.625,mn.client_3,64835,1359872,1073741824,c3f6247fbac5
1780164475.625,mn.client_2,85884,3657728,1073741824,799a78293650
1780164475.625,mn.client_1,350488,26124288,1073741824,701484d3965b
1780164475.625,mn.server,806991,79634432,4294967296,421afad09d6f
1780164476.624,mn.client_7,80209,1523712,1073741824,0efe7c8faf6d
1780164476.624,mn.client_6,84279,1347584,1073741824,89fd01a7c2a9
1780164476.624,mn.client_5,91367,3133440,1073741824,a1ca42117c46
1780164476.624,mn.client_4,459804,34447360,1073741824,038841bb0fe9
1780164476.624,mn.client_3,772481,50810880,1073741824,c3f6247fbac5
1780164476.624,mn.client_2,1052877,77680640,1073741824,799a78293650
1780164476.624,mn.client_1,1334974,111845376,1073741824,701484d3965b
1780164476.624,mn.server,1794539,209940480,4294967296,421afad09d6f
1780164477.626,mn.client_8,100471,1486848,1073741824,061fafb904be
1780164477.626,mn.client_7,300940,18337792,1073741824,0efe7c8faf6d
1780164477.626,mn.client_6,651927,37556224,1073741824,89fd01a7c2a9
1780164477.626,mn.client_5,1019221,54218752,1073741824,a1ca42117c46
1780164477.626,mn.client_4,1452848,100102144,1073741824,038841bb0fe9
1780164477.626,mn.client_3,1775061,125001728,1073741824,c3f6247fbac5
1780164477.626,mn.client_2,2055568,141516800,1073741824,799a78293650
1780164477.626,mn.client_1,2168919,149938176,1073741824,701484d3965b
1780164477.626,mn.server,3575525,296607744,4294967296,421afad09d6f
1780164478.627,mn.client_8,853913,48525312,1073741824,061fafb904be
1780164478.627,mn.client_7,1282416,75927552,1073741824,0efe7c8faf6d
1780164478.627,mn.client_6,1644181,110694400,1073741824,89fd01a7c2a9
1780164478.627,mn.client_5,2019007,127664128,1073741824,a1ca42117c46
1780164478.627,mn.client_4,2443636,150458368,1073741824,038841bb0fe9
1780164478.627,mn.client_3,2762612,187645952,1073741824,c3f6247fbac5
1780164478.627,mn.client_2,3040618,496427008,1073741824,799a78293650
1780164478.627,mn.client_1,2283240,150454272,1073741824,701484d3965b
1780164478.627,mn.server,5461432,303804416,4294967296,421afad09d6f
1780164479.625,mn.client_8,1852519,121098240,1073741824,061fafb904be
1780164479.625,mn.client_7,2280494,140935168,1073741824,0efe7c8faf6d
1780164479.625,mn.client_6,2634806,150540288,1073741824,89fd01a7c2a9
1780164479.625,mn.client_5,3009271,211439616,1073741824,a1ca42117c46
1780164479.625,mn.client_4,3206305,491462656,1073741824,038841bb0fe9
1780164479.625,mn.client_3,3121042,491540480,1073741824,c3f6247fbac5
1780164479.625,mn.client_2,3071899,491577344,1073741824,799a78293650
1780164479.625,mn.client_1,3008505,491188224,1073741824,701484d3965b
1780164479.625,mn.server,7398591,304549888,4294967296,421afad09d6f
1780164480.624,mn.client_8,2836281,226103296,1073741824,061fafb904be
1780164480.624,mn.client_7,3140210,491044864,1073741824,0efe7c8faf6d
1780164480.624,mn.client_6,3183344,491249664,1073741824,89fd01a7c2a9
1780164480.624,mn.client_5,3249580,491061248,1073741824,a1ca42117c46
1780164480.624,mn.client_4,3213755,491307008,1073741824,038841bb0fe9
1780164480.624,mn.client_3,3126812,491577344,1073741824,c3f6247fbac5
1780164480.624,mn.client_2,3077769,491335680,1073741824,799a78293650
1780164480.624,mn.client_1,3015664,491298816,1073741824,701484d3965b
1780164480.624,mn.server,9101296,304918528,4294967296,421afad09d6f
1780164481.624,mn.client_8,3025407,493654016,1073741824,061fafb904be
1780164481.624,mn.client_7,3155054,493551616,1073741824,0efe7c8faf6d
1780164481.624,mn.client_6,3198193,494030848,1073741824,89fd01a7c2a9
1780164481.624,mn.client_5,3263090,493936640,1073741824,a1ca42117c46
1780164481.624,mn.client_4,3228285,493932544,1073741824,038841bb0fe9
1780164481.624,mn.client_3,3140460,493379584,1073741824,c3f6247fbac5
1780164481.624,mn.client_2,3091593,493846528,1073741824,799a78293650
1780164481.624,mn.client_1,3030011,493592576,1073741824,701484d3965b
1780164481.624,mn.server,9184689,468877312,4294967296,421afad09d6f
1780164482.624,mn.client_8,3636691,505626624,1073741824,061fafb904be
1780164482.624,mn.client_7,3788652,505470976,1073741824,0efe7c8faf6d
1780164482.624,mn.client_6,3835215,505581568,1073741824,89fd01a7c2a9
1780164482.624,mn.client_5,3919964,505401344,1073741824,a1ca42117c46
1780164482.624,mn.client_4,3893566,505597952,1073741824,038841bb0fe9
1780164482.624,mn.client_3,3752975,502468608,1073741824,c3f6247fbac5
1780164482.624,mn.client_2,3712559,505565184,1073741824,799a78293650
1780164482.624,mn.client_1,3667961,505831424,1073741824,701484d3965b
1780164482.624,mn.server,9188832,459616256,4294967296,421afad09d6f
1780164483.624,mn.client_8,4636602,505618432,1073741824,061fafb904be
1780164483.624,mn.client_7,4788496,505470976,1073741824,0efe7c8faf6d
1780164483.624,mn.client_6,4835182,505581568,1073741824,89fd01a7c2a9
1780164483.624,mn.client_5,4919869,505143296,1073741824,a1ca42117c46
1780164483.624,mn.client_4,4892252,505597952,1073741824,038841bb0fe9
1780164483.624,mn.client_3,4751880,502448128,1073741824,c3f6247fbac5
1780164483.624,mn.client_2,4711936,505368576,1073741824,799a78293650
1780164483.624,mn.client_1,4666772,505831424,1073741824,701484d3965b
1780164483.624,mn.server,9190204,459608064,4294967296,421afad09d6f
1780164484.624,mn.client_8,5636176,505618432,1073741824,061fafb904be
1780164484.624,mn.client_7,5788191,505470976,1073741824,0efe7c8faf6d
1780164484.624,mn.client_6,5834869,505843712,1073741824,89fd01a7c2a9
1780164484.624,mn.client_5,5919736,505405440,1073741824,a1ca42117c46
1780164484.624,mn.client_4,5892095,505597952,1073741824,038841bb0fe9
1780164484.624,mn.client_3,5752832,502448128,1073741824,c3f6247fbac5
1780164484.624,mn.client_2,5712073,505630720,1073741824,799a78293650
1780164484.624,mn.client_1,5666872,505597952,1073741824,701484d3965b
1780164484.624,mn.server,9191503,459386880,4294967296,421afad09d6f
1780164485.624,mn.client_8,6636152,505618432,1073741824,061fafb904be
1780164485.624,mn.client_7,6787763,505466880,1073741824,0efe7c8faf6d
