timestamp,container,cpu_usec,mem_bytes,mem_limit_bytes,container_id
1780675255.757,mn.client_2,46535,2502656,-1,95323bf474a8
1780675255.757,mn.client_1,50043,1335296,-1,02d5f87cfc0b
1780675255.757,mn.server,47930,6266880,4294967296,f6137c732dd5
1780675256.757,mn.client_5,51565,1466368,-1,baf0651c1103
1780675256.757,mn.client_4,58650,1343488,-1,b0dde156df15
1780675256.757,mn.client_3,42623,1331200,-1,e769faeede91
1780675256.757,mn.client_2,160554,17645568,-1,95323bf474a8
1780675256.757,mn.client_1,417423,41603072,-1,02d5f87cfc0b
1780675256.757,mn.server,615829,104222720,4294967296,f6137c732dd5
1780675257.759,mn.client_8,78380,1859584,-1,c9cd5c3fe014
1780675257.759,mn.client_7,67404,1355776,-1,e9ca0b487fa9
1780675257.759,mn.client_6,69814,1335296,-1,937f51a771ea
1780675257.759,mn.client_5,306859,24936448,-1,baf0651c1103
1780675257.759,mn.client_4,604284,43929600,-1,b0dde156df15
1780675257.759,mn.client_3,855931,64110592,-1,e769faeede91
1780675257.759,mn.client_2,1124263,112685056,-1,95323bf474a8
1780675257.759,mn.client_1,1186331,169148416,-1,02d5f87cfc0b
1780675257.759,mn.server,1411567,210784256,4294967296,f6137c732dd5
1780675258.758,mn.client_8,255925,20070400,-1,c9cd5c3fe014
1780675258.758,mn.client_7,625593,41422848,-1,e9ca0b487fa9
1780675258.758,mn.client_6,989333,65953792,-1,937f51a771ea
1780675258.758,mn.client_5,1288762,99889152,-1,baf0651c1103
1780675258.758,mn.client_4,1590076,121765888,-1,b0dde156df15
1780675258.758,mn.client_3,1851860,143933440,-1,e769faeede91
1780675258.758,mn.client_2,1932547,159043584,-1,95323bf474a8
1780675258.758,mn.client_1,1994538,217632768,-1,02d5f87cfc0b
1780675258.758,mn.server,2271559,277172224,4294967296,f6137c732dd5
1780675259.759,mn.client_8,1226225,128020480,-1,c9cd5c3fe014
1780675259.759,mn.client_7,1609286,137207808,-1,e9ca0b487fa9
1780675259.759,mn.client_6,1975257,151199744,-1,937f51a771ea
1780675259.759,mn.client_5,2277686,157057024,-1,baf0651c1103
1780675259.759,mn.client_4,2001935,150052864,-1,b0dde156df15
1780675259.759,mn.client_3,1945265,150044672,-1,e769faeede91
1780675259.759,mn.client_2,1970217,159223808,-1,95323bf474a8
1780675259.759,mn.client_1,2032371,217481216,-1,02d5f87cfc0b
1780675259.759,mn.server,3469899,621428736,4294967296,f6137c732dd5
1780675260.758,mn.client_8,2217792,304775168,-1,c9cd5c3fe014
1780675260.758,mn.client_7,2601710,490160128,-1,e9ca0b487fa9
1780675260.758,mn.client_6,2641333,491794432,-1,937f51a771ea
1780675260.758,mn.client_5,2625869,492494848,-1,baf0651c1103
1780675260.758,mn.client_4,2577861,273395712,-1,b0dde156df15
1780675260.758,mn.client_3,2767973,491810816,-1,e769faeede91
1780675260.758,mn.client_2,2747551,500137984,-1,95323bf474a8
1780675260.758,mn.client_1,2825785,558501888,-1,02d5f87cfc0b
1780675260.758,mn.server,5381100,623718400,4294967296,f6137c732dd5
1780675261.757,mn.client_8,2382009,492584960,-1,c9cd5c3fe014
1780675261.757,mn.client_7,2669986,492113920,-1,e9ca0b487fa9
1780675261.757,mn.client_6,2649059,491679744,-1,937f51a771ea
1780675261.757,mn.client_5,2632765,492232704,-1,baf0651c1103
1780675261.757,mn.client_4,2752495,492216320,-1,b0dde156df15
1780675261.757,mn.client_3,2776103,491212800,-1,e769faeede91
1780675261.757,mn.client_2,2755078,500379648,-1,95323bf474a8
1780675261.757,mn.client_1,2833400,557850624,-1,02d5f87cfc0b
