timestamp,container,cpu_usec,mem_bytes,mem_limit_bytes,container_id
1780772788.404,mn.client_2,56453,1867776,1073741824,83bfd9e78d3c
1780772788.404,mn.client_1,64726,1437696,1073741824,ad7b79a2d369
1780772788.404,mn.server,42964,1359872,4294967296,b4d430305e9e
1780772789.405,mn.client_5,43335,2793472,1073741824,bd8a08d35457
1780772789.405,mn.client_4,83324,1470464,1073741824,fe90dc63a26b
1780772789.405,mn.client_3,75705,1343488,1073741824,0f7d5c9b5a35
1780772789.405,mn.client_2,146374,8982528,1073741824,83bfd9e78d3c
1780772789.405,mn.client_1,426761,34168832,1073741824,ad7b79a2d369
1780772789.405,mn.server,825279,77701120,4294967296,b4d430305e9e
1780772790.405,mn.client_7,80392,1376256,1073741824,8d2230941df3
1780772790.405,mn.client_6,80986,1359872,1073741824,e5676d06a8bb
1780772790.405,mn.client_5,139250,8704000,1073741824,bd8a08d35457
1780772790.405,mn.client_4,499550,35483648,1073741824,fe90dc63a26b
1780772790.405,mn.client_3,844158,54333440,1073741824,0f7d5c9b5a35
1780772790.405,mn.client_2,1123809,84213760,1073741824,83bfd9e78d3c
1780772790.405,mn.client_1,1413088,118640640,1073741824,ad7b79a2d369
1780772790.405,mn.server,1806011,173780992,4294967296,b4d430305e9e
1780772791.406,mn.client_8,90196,1355776,1073741824,355e470e4120
1780772791.406,mn.client_7,326130,22781952,1073741824,8d2230941df3
1780772791.406,mn.client_6,699875,41345024,1073741824,e5676d06a8bb
1780772791.406,mn.client_5,1069147,66084864,1073741824,bd8a08d35457
1780772791.406,mn.client_4,1491220,111988736,1073741824,fe90dc63a26b
1780772791.406,mn.client_3,1844863,132046848,1073741824,0f7d5c9b5a35
1780772791.406,mn.client_2,2107822,148815872,1073741824,83bfd9e78d3c
1780772791.406,mn.client_1,2088119,149995520,1073741824,ad7b79a2d369
1780772791.406,mn.server,3538587,315719680,4294967296,b4d430305e9e
1780772792.407,mn.client_8,900639,49930240,1073741824,355e470e4120
1780772792.407,mn.client_7,1311639,81555456,1073741824,8d2230941df3
1780772792.407,mn.client_6,1696085,117805056,1073741824,e5676d06a8bb
1780772792.407,mn.client_5,2068793,136597504,1073741824,bd8a08d35457
1780772792.407,mn.client_4,2478621,150491136,1073741824,fe90dc63a26b
1780772792.407,mn.client_3,2830306,294723584,1073741824,0f7d5c9b5a35
1780772792.407,mn.client_2,2993576,491487232,1073741824,83bfd9e78d3c
1780772792.407,mn.client_1,2388637,150507520,1073741824,ad7b79a2d369
1780772792.407,mn.server,5437742,316313600,4294967296,b4d430305e9e
1780772793.405,mn.client_8,1897678,125661184,1073741824,355e470e4120
1780772793.405,mn.client_7,2297224,148660224,1073741824,8d2230941df3
1780772793.405,mn.client_6,2685631,150564864,1073741824,e5676d06a8bb
1780772793.405,mn.client_5,3057276,489852928,1073741824,bd8a08d35457
1780772793.405,mn.client_4,3134637,491364352,1073741824,fe90dc63a26b
1780772793.405,mn.client_3,3033003,491237376,1073741824,0f7d5c9b5a35
1780772793.405,mn.client_2,3002912,491614208,1073741824,83bfd9e78d3c
1780772793.405,mn.client_1,2943915,491253760,1073741824,ad7b79a2d369
1780772793.405,mn.server,7364109,317493248,4294967296,b4d430305e9e
1780772794.405,mn.client_8,2795569,491716608,1073741824,355e470e4120
1780772794.405,mn.client_7,2922355,492183552,1073741824,8d2230941df3
1780772794.405,mn.client_6,3055195,492171264,1073741824,e5676d06a8bb
