round,test_loss,test_accuracy,eval_time_s
187,1.056969,0.675700,2.645440
188,1.066902,0.674000,2.685658
189,1.071058,0.670900,2.645178
190,1.070159,0.673300,2.746600
191,1.070733,0.675200,2.202211
192,1.076054,0.670400,2.494315
193,1.077744,0.672000,2.785916
194,1.087799,0.670900,2.648079
195,1.084114,0.667900,2.705699
196,1.092266,0.671800,2.674279
197,1.092702,0.671500,2.631223
198,1.099793,0.670800,2.667303
199,1.097048,0.672600,2.637460
200,1.103771,0.667600,2.399949
201,1.118117,0.668200,2.604684
202,1.119934,0.673200,2.637182
203,1.097697,0.674900,2.635456
204,1.098551,0.673300,2.633217
205,1.108260,0.675500,2.706600
206,1.118491,0.675900,2.659219
207,1.119584,0.671500,2.138031
208,1.118988,0.668100,2.304534
209,1.116168,0.670900,2.624190
210,1.122049,0.670600,2.654776
211,1.128814,0.674100,2.689245
212,1.122435,0.671800,2.697010
213,1.130299,0.672800,2.898150
214,1.150963,0.669200,2.619628
215,1.143640,0.669400,2.712168
216,1.141802,0.672700,2.627559
217,1.148259,0.670800,2.329570
218,1.163156,0.667700,2.496582
219,1.156007,0.672300,2.652204
220,1.143085,0.675100,2.633532
221,1.148034,0.673100,2.711649
222,1.167232,0.671200,2.670392
223,1.155651,0.672200,2.755263
224,1.164500,0.674500,2.647575
225,1.159801,0.670100,2.151570
226,1.162593,0.674400,2.219181
227,1.170173,0.672100,2.679522
228,1.169879,0.673500,2.675605
229,1.185426,0.667800,2.647975
230,1.174945,0.672400,2.650583
231,1.174591,0.671400,2.641436
232,1.176708,0.672500,2.691070
233,1.190181,0.675500,2.692083
234,1.185192,0.675200,2.660080
235,1.187317,0.673600,2.616305
236,1.195514,0.672200,2.623145
237,1.191317,0.677700,2.206168
238,1.208393,0.673300,2.259774
239,1.199681,0.673500,2.667541
240,1.210834,0.676100,2.651237
241,1.205085,0.673600,2.778214
242,1.199426,0.674200,2.648893
243,1.216328,0.673500,2.636183
244,1.226935,0.670600,2.647655
245,1.224782,0.671700,2.638117
246,1.225251,0.671700,2.755647
247,1.232748,0.670300,2.209154
248,1.224901,0.673000,2.228885
249,1.223482,0.672100,2.687256
