timestamp,container,cpu_usec,mem_bytes,mem_limit_bytes,container_id
1780741538.543,mn.client_2,54949,1757184,1073741824,4c4bc1291772
1780741538.543,mn.client_1,57965,1335296,1073741824,8e6afc377152
1780741538.543,mn.server,49374,1388544,4294967296,dcb99318522d
1780741539.546,mn.client_5,72466,1482752,1073741824,49a7a1b285c5
1780741539.546,mn.client_4,63580,1335296,1073741824,ca247194a589
1780741539.546,mn.client_3,58487,1339392,1073741824,aa10c1a89d86
1780741539.546,mn.client_2,133589,8704000,1073741824,4c4bc1291772
1780741539.546,mn.client_1,377074,32563200,1073741824,8e6afc377152
1780741539.546,mn.server,787806,81190912,4294967296,dcb99318522d
1780741540.544,mn.client_8,64946,1908736,1073741824,a88474d399af
1780741540.544,mn.client_7,72085,1331200,1073741824,045e75a43741
1780741540.544,mn.client_6,63218,1335296,1073741824,c8d66f0f132b
1780741540.544,mn.client_5,230867,17883136,1073741824,49a7a1b285c5
1780741540.544,mn.client_4,551854,39378944,1073741824,ca247194a589
1780741540.544,mn.client_3,820658,54857728,1073741824,aa10c1a89d86
1780741540.544,mn.client_2,1105373,86827008,1073741824,4c4bc1291772
1780741540.544,mn.client_1,1365741,118345728,1073741824,8e6afc377152
1780741540.544,mn.server,1780139,210313216,4294967296,dcb99318522d
1780741541.547,mn.client_8,144407,7929856,1073741824,a88474d399af
1780741541.547,mn.client_7,479112,32509952,1073741824,045e75a43741
1780741541.547,mn.client_6,821474,49741824,1073741824,c8d66f0f132b
1780741541.547,mn.client_5,1207982,79319040,1073741824,49a7a1b285c5
1780741541.547,mn.client_4,1544085,117432320,1073741824,ca247194a589
1780741541.547,mn.client_3,1820075,131231744,1073741824,aa10c1a89d86
1780741541.547,mn.client_2,2099439,149401600,1073741824,4c4bc1291772
1780741541.547,mn.client_1,2355722,150716416,1073741824,8e6afc377152
1780741541.547,mn.server,3600516,296828928,4294967296,dcb99318522d
1780741542.544,mn.client_8,1124536,64643072,1073741824,a88474d399af
1780741542.544,mn.client_7,1468422,97230848,1073741824,045e75a43741
1780741542.544,mn.client_6,1819093,122318848,1073741824,c8d66f0f132b
1780741542.544,mn.client_5,2200576,146948096,1073741824,49a7a1b285c5
1780741542.544,mn.client_4,2530918,150507520,1073741824,ca247194a589
1780741542.544,mn.client_3,2809538,304390144,1073741824,aa10c1a89d86
1780741542.544,mn.client_2,2936144,398774272,1073741824,4c4bc1291772
1780741542.544,mn.client_1,2877017,491229184,1073741824,8e6afc377152
1780741542.544,mn.server,5538157,297615360,4294967296,dcb99318522d
1780741543.544,mn.client_8,2117266,149049344,1073741824,a88474d399af
